Year,Country,Arrivals,Pleasure/Vacation,Visiting_relations,Business,MICE,Sports,Health/Aurweda,Education,Religious,officials,Other_purpose,male,female,Age(3-19),Age(20-29),Age(30-39),Age(40-49),Age(50-59),Age(60 &above),Id
2019,North America,119681,77315,37432,2563,927,904,183,312,24,15,6,60537,59144,15156,12410,19051,17543,19401,36100,NU2398876
2019,Canada,48729,22280,25581,410,156,151,49,84,12,6,0,24573,24156,7192,4667,6677,7015,8959,14219,
2019,Mexico,2120,1939,54,61,33,9,3,19,0,0,2,1038,1082,155,369,538,344,312,402,
2019,United States,68832,53096,11 797,2092,738,744,131,209,12,9,4,34924,33908,7809,7374,11836,10204,10130,21479,
2019,Caribbean & Central America,938,776,82,42,25,8,1,4,0,0,0,541,397,51,183,267,176,132,129,
2019,Costa Rica,143,125,8,7,1,1,0,1,0,0,0,78,65,8,26,41,24,22,22,
2019,Jamaica,58,45,6,2,5,0,0,0,0,0,0,27,31,3,13,18,14,7,3,
2019,Others,737,606,68,33,19,7,1,3,0,0,0,436,301,40,144,208,138,103,104,
2019,South America,6804,6240,252,163,62,36,22,29,0,0,0,3125,3679,336,1318,2310,898,716,1226,
2019,Argentina,1403,1324,41,9,12,7,4,6,0,0,0,47,229,442,173,350,162,173,350,
2019,Brazil,2964,2698,98,107,21,16,14,10,0,0,0,1382,1582,173,458,942,423,344,624,
2019,Chile,938,880,33,10,4,6,1,4,0,0,0,460,478,45,223,388,97,63,122,
2019,Colombia,713,635,38,19,16,0,1,4,0,0,0,263,450,33,235,257,86,48,54,
2019,Others,786,703,42,18,9,7,2,5,0,0,0,353,433,38,173,281,130,88,76,
2019,North Africa,2780,2501,149,44,38,29,10,8,0,1,0,1328,1452,321,784,981,348,197,149,
2019,Morocco,1031,920,61,18,11,8,7,6,0,0,0,450,581,73,400,351,103,44,60,
2019,Sudan,584,508,37,16,11,7,3,2,0,0,0,343,241,99,97,209,110,49,20,
2019,Others,1165,1073,51,10,16,14,0,0,0,1,0,532,633,149,287,421,135,104,69,
2019,Sub -Saharan Africa,12314,10471,729,426,285,308,20,58,3,12,2,6092,6222,1347,2114,2968,1990,1831,2064,
2019,Kenya,1559,1135,145,50,42,175,1,7,0,3,1,778,781,313,257,351,237,187,214,
2019,Mauritius,739,593,85,34,23,0,4,0,0,0,0,347,392,58,102,156,114,98,211,
2019,Nigeria,172,44,54,29,32,1,1,9,0,2,0,131,41,5,23,61,43,25,15,
2019,South Africa,7132,6419,296,240,96,43,11,24,2,1,0,3365,3767,662,1225,1543,1129,1192,1381,
2019,Others,2712,2280,149,73,92,89,3,18,1,6,1,1404,1308,309,507,857,467,329,243,
2019,North East Asia,217477,196827,5864,9563,2895,445,562,1244,52,6,19,98165,119312,14928,34095,51148,39594,38233,39479,
2019,China,167863,156169,3408,5101,1940,191,25,990,34,1,4,72336,95527,12475,27945,41496,28988,28664,28295,
2019,Japan,30079,24140,1469,3102,555,100,524,173,11,0,5,15722,14357,1455,3940,6303,6783,4955,6643,
2019,South Korea,12195,9971,734,1047,287,74,12,51,7,3,9,6852,5343,612,1273,2045,2433,3019,2813,
2019,Taiwan,7127,6412,242,303,88,51,1,27,0,2,1,3152,3975,353,890,1252,1357,1563,1712,
2019,Others,213,135,11,10,25,29,0,3,0,0,0,103,110,33,47,52,33,32,16,
2019,South East Asia,68904,55557,5665,4394,1791,737,50,611,36,52,11,835227,-33677,83344,10692,17427,14828,811 764,10849,
2019,Cambodia,2841,2691,32,7,28,74,0,5,4,0,0,1039,1802,48,218,461,321,455,1338,
2019,Indonesia,4919,3757,374,374,160,102,8,132,7,2,3,2918,2001,206,1326,1494,1098,556,239,
2019,Malaysia,16861,12469,1907,1692,474,151,19,139,5,2,3,9112,7749,1114,2165,3557,3516,3288,3291,
2019,Myanmar,3124,2745,138,128,52,30,1,27,0,3,0,1389,1735,39,372,614,673,769,657,NU28898877
2019,Philippines,14590,12348,1241,572,301,44,4,72,4,2,2,8160,6430,427,3269,5393,3592,1500,409,
2019,Singapore,13871,11164,1141,898,363,152,10,123,7,11,2,7969,5902,1131,1465,2633,2908,3139,2595,
2019,Thailand,9861,8301,581,485,261,97,6,90,8,31,1,3792,6069,247,1287,2387,2172,1708,2060,
2019,Vietnam,2643,1948,231,230,126,85,2,19,1,1,0,1060,1583,132,557,831,503,308,312,
2019,Others,194,134,20,8,26,2,0,4,0,0,0,85,109,0,33,57,45,41,18,
2019,Oceania,105414,76150,26138,1517,704,516,123,7,228,28,3,52150,53264,13579,13930,16832,15044,17508,28503,
2019,Australia,92674,66507,23500,1347,586,408,103,186,28,6,3,45826,46848,12100,12048,14736,13277,15218,25295,
2019,New Zealand,12463,9462,2606,164,89,98,18,25,0,1,0,6194,6269,1482,1850,2029,1712,2230,3160,
2019,Others,277,181,32,6,29,10,2,17,0,0,0,130,147,15,32,67,55,60,48,
2019,South Asia,447675,350791,36398,41091,8328,8179,211,2381,163,86,47,291805,55879,42674,33803,-118761,94633,-64135,-53660,
2019,Afghanistan,473,224,9,13,154,40,1,32,0,0,0,347,126,41,162,178,63,18,11,
2019,Bangladesh,8261,6740,515,476,254,196,7,51,11,9,2,5937,2324,824,1701,2464,1749,964,559,
2019,Bhutan,343,237,36,12,26,3,0,29,0,0,0,203,140,14,84,76,82,57,30,
2019,India,355002,278562,28404,33803,6035,6053,140,1790,121,64,30,234664,120338,30754,57566,93061,74955,52220,46446,
2019,Iran,3249,2940,184,86,21,6,0,8,4,0,0,1669,1580,487,452,1259,509,323,219,
2019,Maldives,60278,47233,4901,5533,1121,1101,28,321,22,12,6,35909,24369,8766,9799,15410,13129,8247,4997,
2019,Nepal,5414,3848,871,157,296,167,5,62,5,0,3,2993,2421,176,1109,1979,1329,526,295,
2019,Pakistan,14655,11007,1478,1011,421,613,30,88,0,1,6,10074,4581,1612,2930,4334,2817,1780,1182,
2019,Northern Eur.,267264,211278,47884,4156,1822,951,521,596,36,11,9,133186,134070,33894,41116,44926,37484,-94964,64950,
2019,Denmark,16869,14292,2098,224,54,12,140,44,2,3,0,7823,9046,2664,3565,2058,2167,2817,3598,
2019,Finland,7028,6565,322,87,31,5,15,3,0,0,O,3061,3967,621,1910,1809,997,853,838,
2019,Norway,13446,8919,4104,181,172,16,31,20,0,2,1,6418,7028,1921,2985,2011,1786,2590,2153,
2019,Sweden,22464,19966,1802,359,175,12,83,65,2,0,0,10756,11708,3145,4329,3949,2876,3759,4406,
2019,United Kingdom,198776,153567,39111,3189,1322,873,219,453,30,6,6,101153,97623,24855,26144,32648,28625,33869,52635,
2019,Others,8681,7969,447,116,68,33,33,11,2,0,2,3975,4706,618,2183,2451,1033,1076,1320,
2019,Western Eur.,322068,279345,29582,2992,925,389,8397,373,52,8,5,152753,169315,32286,63263,57906,40097,61095,67421,
2019,Austria,14713,13075,540,132,40,15,886,22,3,0,0,6664,8049,747,3179,2581,1751,3010,3445,
2019,Belgium,14948,14153,533,156,47,9,40,8,2,0,0,7226,7722,2119,3604,2427,2140,2370,2288,
2019,France,87623,76877,9219,730,256,232,221,75,10,2,1,42619,45004,11705,15007,16096,12552,14119,18144,
2019,Germany,134899,116220,10896,1132,383,82,6009,142,30,5,0,63015,71884,9833,26095,25081,15208,29170,29512,
2019,Netherlands,38993,35309,2718,594,104,18,138,103,4,1,4,18659,20334,4288,9804,6740,4337,6313,7511,
2019,Switzerland,29981,22882,5644,243,94,32,1060,23,3,0,0,14168,15813,3494,5397,4817,3997,5932,6344,
2019,Others,911,829,32,5,1,1,43,0,0,0,0,402,509,100,177,164,112,181,177,
2019,Central/Eastern Europe,196856,188834,5081,907,393,561,884,94,63,0,39,88771,108085,20668,38502,61717,37154,24927,13888,
2019,Belarus,4796,4447,145,83,80,16,18,7,0,0,0,2113,2683,689,1223,1610,717,426,131,
2019,Czech Republic,19204,18738,294,60,28,12,63,6,3,0,0,8665,10539,1985,3949,3867,4101,3157,2145,
2019,Estonia,2516,2442,29,11,16,9,5,4,0,0,0,1166,1350,399,302,618,515,461,221,
2019,Hungary,4091,3939,88,24,15,6,16,3,0,0,0,1879,2212,287,548,1089,1034,572,561,
2019,Kazakhstan,2399,2271,81,9,15,15,7,1,0,0,0,955,1444,552,387,703,330,260,167,
2019,Lithuania,2793,2644,84,32,8,1,20,2,0,0,2,1164,1629,216,503,803,539,453,279,
2019,Poland,20896,20069,410,229,47,81,42,13,5,0,0,9828,11068,2129,3192,5848,4574,2869,2284,
2019,Romania,5463,5083,143,143,35,21,16,21,1,0,0,2644,2819,423,857,2049,1215,588,331,
2019,Russian Federation,86549,83318,2474,156,36,316,179,23,47,0,0,37742,48807,9360,16874,30005,14668,10529,5113,
2019,Slovakia,4944,4420,62,13,5,7,437,0,0,0,0,2128,2816,299,945,1461,1022,740,477,
2019,Ukraine,35051,33895,955,70,28,49,42,5,7,0,0,16897,18154,3429,8196,11335,6846,3792,1453,
2019,Others,8 154,7568,316,77,80,28,39,9,0,0,3,3590,4564,900,1526,2329,1593,1080,726,
2019,Southern/Mediterranean Europe,101384,95075,3178,1904,546,221,265,180,10,3,2,52752,48632,6923,22109,25802,16857,14043,15650,
2019,Greece,6980,6364,63,363,123,6,16,45,0,0,0,5684,1296,158,1116,11940,1861,1460,445,
2019,Italy,36147,34070,1362,418,93,108,48,43,5,0,0,20123,16024,2329,5572,8081,5840,5862,8463,
2019,Portugal,5193,4663,324,135,28,10,20,11,2,0,0,2671,2522,290,1082,1741,864,577,639,
2019,Spain,24489,23490,490,321,81,26,55,24,1,1,0,11963,12526,1366,5403,7961,3912,3028,2819,NU2998878
2019,Turkey,4972,4192,145,430,137,8,34,24,0,2,0,2322,2650,293,630,1529,924,745,851,NU2398879
2019,Israel,14770,13921,557,171,38,44,20,17,2,0,0,7791,6979,1668,6699,2010,-1734,1176,1483,
2019,Others,8833,8375,237,66,46,19,72,16,0,0,2,4347,4486,819,1607,2540,1722,1195,950,
2019,Bahrain,2285,2150,84,15,4,29,2,0,1,0,0,1144,1141,570,485,487,253,263,227,
2019,Egypt,3708,3373,128,74,33,81,7,11,1,0,0,2318,1390,486,975,1440,523,222,62,
2019,Iraq,852,784,34,12,0,7,2,12,1,0,0,595,257,66,221,234,133,121,77,
2019,Jordan,3085,2860,111,41,21,39,6,7,0,0,0,1736,1349,445,847,1034,373,227,159,
2019,Kuwait,3239,2946,252,13,2,18,5,0,3,0,0,1816,1423,694,629,678,445,433,360,
2019,Lebanon,4304,4088,81,41,15,66,6,7,0,0,0,2182,2122,414,1367,1522,540,309,152,
2019,Oman,4117,3799,240,35,16,18,3,3,3,0,0,2377,1740,1311,992,922,508,261,123,
2019,Qatar,1063,1014,32,5,1,8,2,1,0,0,0,658,405,293,175,230,181,127,57,
2019,Saudi Arabia,15707,14759,780,15,8,101,27,3,7,0,7,8878,6829,4780,3951,3709,1612,1104,551,
2019,Emirates,3528,3317,173,8,13,8,1,7,1,0,0,2027,1501,971,618,837,521,372,209,
2019,Others,2255,1962,147,47,11,76,8,4,0,0,0,1384,871,353,627,766,328,107,74,
2020,North America,29627,21817,6926,492,272,48,50,8,8,6,0,15071,14556,3034,2930,5006,3853,4540,10264,
2020,Canada,12436,7142,5114,100,43,10,24,1,2,0,0,6332,6104,1333,1124,"1,8.33",1652,2139,4355,
2020,Mexico,349,327,8,10,4,0,0,0,0,0,0,143,206,24,71,114,44,32,64,
2020,United States,16842,14348,1804,382,225,38,26,7,6,6,0,8596,8246,1677,1735,3059,2157,2369,5845,
2020,Caribbean & Central America,226,167,17,7,5,2,28,0,0,0,0,154,72,15,43,66,42,25,35,
2020,Costa Rica,33,32,0,1,0,0,0,0,0,0,0,19,14,2,3,7,2,6,13,
2020,Jamaica,25,15,2,0,0,0,8,0,0,0,0,16,9,2,7,4,8,0,4,
2020,Others,168,120,15,6,5,2,20,0,0,0,0,119,49,11,33,55,32,19,18,
2020,South America,1990,1836,62,38,31,3,19,1,0,0,0,910,1 080,113,358,637,281,266,335,
2020,Argentina,416,396,7,5,1,1,6,0,0,0,0,184,232,19,89,129,61,54,64,
2020,Brazil,875,808,23,27,9,0,7,1,0,0,0,433,442,52,98,244,135,150,196,
2020,Chile,271,252,8,4,6,1,0,0,0,0,0,117,154,19,63,95,32,21,41,
2020,Colombia,201,185,5,2,8,0,1,0,0,0,0,77,124,12,53,85,25,14,12,
2020,Others,227,195,19,0,7,1,5,0,0,0,0,99,128,11,55,84,28,27,22,
2020,North Africa,689,626,23,25,8,5,2,0,0,0,0,330,359,52,208,231,94,49,55,
2020,Morocco,311,280,12,12,4,3,0,0,0,0,0,112,199,15,120,95,27,17,37,
2020,Sudan,143,122,6,8,3,2,2,0,0,0,0,95,48,10,28,40,41,18,6,
2020,Others,235,224,5,5,1,0,0,0,0,0,0,123,112,27,60,96,26,14,12,
2020,Sub -Saharan Africa,2191,1858,156,113,49,2,12,0,0,0,0,1115,1076,126,383,584,295,330,473,
2020,Kenya,110,80,16,6,4,1,2,0,0,0,0,60,50,4,18,32,20,17,19,
2020,Mauritius,170,138,15,16,1,0,0,0,0,0,0,81,89,14,35,49,24,18,30,
2020,Nigeria,25,9,1,13,2,0,0,0,0,0,0,15,10,1,3,8,5,4,4,
2020,South Africa,1364,1221,66,52,20,0,5,0,0,0,0,659,705,71,236,314,151,228,364,
2020,Others,522,410,58,26,22,1,5,0,0,0,0,300,222,36,91,181,95,63,56,
2020,North East Asia,37320,33595,1253,1726,554,131,53,3,2,2,1,17640,19680,3705,6086,9051,6558,5614,6306,
2020,China,26147,24052,731,910,392,22,36,1,2,0,1,12068,14079,3228,4558,7095,4392,3435,3439,
2020,Japan,6644,5480,327,606,114,108,8,1,0,0,0,3445,3 199,229,921,1 263,1 411,1 116,1 704,
2020,South Korea,2499,2136,160,161,35,1,4,0,0,2,0,1342,1157,103,310,415,429,620,622,
2020,Taiwan,1985,1890,31,48,12,0,3,1,0,0,0,769,1216,136,289,269,324,435,532,
2020,Others,45,37,4,1,1,0,2,0,0,0,0,16,29,9,8,9,2,8,9,
2020,South East Asia,14927,12758,1009,688,385,8,68,0,3,5,3,8655,6272,501,2348,4023,3191,2546,2318,
2020,Cambodia,372,349,15,3,5,0,0,0,0,0,0,124,248,5,28,57,38,57,187,
2020,Indonesia,1114,857,80,110,56,0,11,0,0,0,0,733,381,31,283,329,266,150,55,
2020,Malaysia,3494,2627,423,270,135,5,27,0,2,2,3,1 838,1 656,178,398,759,644,706,809,
2020,Myanmar,532,472,10,31,6,0,11,0,0,2,0,317,215,6,78,120,110,121,97,
2020,Philippines,4249,3776,276,108,79,2,7,0,1,0,0,3119,1130,80,909,1532,1066,495,167,
2020,Singapore,2545,2545,0,0,0,0,0,0,0,0,0,1453,1092,133,268,496,487,611,550,
2020,Thailand,1880,1586,111,89,83,1,9,0,0,1,0,772,1108,35,236,475,441,314,379,
2020,Vietnam,709,524,89,74,19,0,3,0,0,0,0,287,422,31,141,238,137,88,74,NU2398894
2020,Others,32,22,5,3,2,0,0,0,0,0,0,12,20,2,7,17,2,4,0,NU2398895
2020,Oceania,22706,16791,5344,331,201,19,15,3,0,1,1,11459,11247,2532,3304,3538,2942,3351,7039,NU3398896
2020,Australia,20283,14993,4802,282,176,16,10,2,0,1,1,10 180,10 103,2262,2 924,3 096,2 637,2 925,6439,NU2398897
2020,New Zealand,2324,1712,532,47,24,3,5,1,0,0,0,1220,1104,267,374,420,290,405,568,NU2398898
2020,Others,99,86,10,2,1,0,0,0,0,0,0,59,40,3,6,22,15,21,32,
2020,South Asia,106201,88216,6198,8097,3033,36,476,61,35,35,7,69816,36385,6604,17527,29725,20813,15814,15718,
2020,Afghanistan,146,54,8,11,71,0,1,0,0,0,0,106,40,9,48,61,19,5,4,
2020,Bangladesh,1986,1655,121,74,103,2,29,0,1,0,14,1 389,597,171,397,597,408,249,164,
2020,Bhutan,208,143,10,1,15,0,39,0,0,0,1,152,56,16,43,47,43,33,26,
2020,India,89357,73210,5763,7581,2378,30,324,18,34,14,1,59 140,30217,5 142,14512,24845,17093,13 518,14247,
2020,Iran,648,603,20,19,1,0,5,0,0,0,0,329,319,44,92,273,119,58,62,
2020,Maldives,9407,9407,0,0,0,0,0,0,0,0,5,5 866,3 541,987,1 548,2478,2 114,1 401,879,
2020,Nepal,1384,950,89,67,205,1,7,41,0,17,0,617,767,35,237,477,365,165,105,
2020,Pakistan,3065,2194,187,344,260,3,71,2,0,4,0,2217,848,200,650,947,652,385,231,
2020,Northern Eur.,75146,65207,7925,986,650,235,90,46,3,1,3,36958,38188,5735,10878,13094,8288,13088,24063,
2020,Denmark,4905,4417,327,75,21,63,2,0,0,0,0,2197,2708,569,1148,596,597,866,1 129,NU2398894
2020,Finland,2298,2187,70,28,3,7,3,0,0,0,0,1006,1292,173,453,616,294,321,441,NU2398895
2020,Norway,3019,2334,582,49,39,9,4,2,0,0,0,1347,1672,179,863,439,329,588,621,NU3398896
2020,Sweden,7061,6492,374,76,70,43,6,0,0,0,0,3285,3776,784,1381,1393,797,1114,1592,NU2398897
2020,United Kingdom,55455,47540,6484,726,487,93,75,44,2,1,3,28 036,27419,3 937,6 500,9413,5 995,9901,19709,NU2398898
2020,Others,2408,2237,88,32,30,20,0,0,1,0,0,1087,1321,93,533,637,276,298,571,
2020,Western Eur.,82 229,73531,517,584,271,2566,49,3,5,1,2,38904,43325,5045,15585,16652,9438,15646,19863,
2020,Austria,4300,3849,142,28,13,263,3,0,0,0,2,1931,2369,114,840,801,513,894,1 138,
2020,Belgium,3371,3185,133,33,8,10,2,0,0,0,0,1 886,1 485,154,654,689,355,653,866,
2020,France,24838,22983,1534,158,81,64,17,1,0,0,0,11 977,12 861,2544,4 136,5 225,3 615,4 177,5 141,
2020,Germany,34507,30408,1952,185,98,1839,21,0,3,1,0,15 920,18 587,1 405,6779,6 809,3 407,7256,8851,
2020,Netherlands,8656,7885,527,146,52,40,3,1,2,0,0,4138,4518,390,2024,1828,830,1343,2241,
2020,Switzerland,6389,5065,925,34,19,343,3,0,0,0,0,2973,3416,430,1129,1255,703,1290,1582,
2020,Others,168,156,4,0,0,7,0,1,0,0,0,79,89,8,23,45,15,33,44,
2020,Central/Eastern Europe,100766,96634,3208,228,69,289,316,5,17,0,0,44854,55912,11245,17945,32314,19102,12768,7392,
2020,Belarus,2638,2559,70,1,0,3,5,0,0,0,0,1141,1497,321,666,914,411,241,85,
2020,Czech Republic,7599,7438,117,7,7,21,9,0,0,0,0,3 394,4205,769,1 290,1568,1 646,1 298,1 028,
2020,Estonia,1185,1157,12,3,6,6,1,0,0,0,0,516,669,165,210,302,245,186,77,
2020,Hungary,1588,1516,52,7,2,7,4,0,0,0,0,721,867,77,169,415,372,294,261,
2020,Kazakhstan,2333,2271,42,0,0,0,20,0,0,0,0,945,1 388,474,374,692,307,288,198,
2020,Lithuania,1054,1007,36,4,0,5,2,0,0,0,0,456,598,72,165,296,243,174,104,
2020,Poland,11908,11466,323,75,7,26,11,0,0,0,0,5 564,6 344,1 549,1 696,3 026,2 673,1 706,1258,
2020,Romania,1724,1597,65,30,12,6,11,0,3,0,0,859,865,136,196,677,411,196,108,NU2398880
2020,Russian Federation,49397,47354,1676,61,15,68,208,3,12,0,0,21424,27973,5333,9039,17646,8431,5803,3145,NU2398181
2020,Slovakia,1513,1365,34,0,1,112,1,0,0,0,0,639,874,105,269,433,342,222,142,NU2398882
2020,Ukraine,17169,16376,711,15,1,20,42,2,2,0,0,7978,9191,1974,3377,5510,3539,1979,790,NU2398883
2020,Others,2658,2528,70,25,18,15,2,0,0,0,0,1217,1441,270,494,835,482,381,196,NU2398884
2020,Southern/Mediterranean Europe,23455,21720,861,556,171,109,28,0,10,0,0,12692,10763,987,4736,5747,4054,3578,4353,NU6668885
2020,Greece,1573,1358,26,139,43,7,0,0,0,0,0,1278,295,26,244,474,354,328,147,NU2398886
2020,Italy,8 603,7826,463,195,61,46,5,0,7,0,0,4558,4045,383,1196,1945,1 393,1504,2182,NU1198887
2020,Portugal,1602,1521,37,19,8,14,3,0,0,0,0,751,851,69,233,458,274,228,340,NU2398888
2020,Spain,3385,3176,103,68,20,11,6,0,1,0,0,1608,1777,112,637,1115,672,425,424,NU2398889
2020,Turkey,2 121,1968,62,69,20,1,0,0,1,0,0,1124,997,84,288,517,400,348,484,NU2398890
2020,Israel,3556,3391,116,26,6,5,12,0,0,0,0,2048,1508,162,1696,445,466,360,427,NU2398891
2020,Others,2 615,2480,54,40,13,25,2,0,1,0,0,1325,1290,151,442,793,495,385,349,NU2398892
2020,Bahrain,549,534,11,1,0,0,3,0,0,0,0,318,231,142,118,86,67,71,65,
2020,Egypt,956,889,18,26,11,4,7,0,0,1,0,570,386,97,228,419,134,47,31,
2020,Iraq,138,122,2,6,8,0,0,0,0,0,0,92,46,11,45,42,12,13,15,
2020,Jordan,627,581,23,9,7,0,6,1,0,0,0,358,269,75,143,219,88,60,42,
2020,Kuwait,825,794,28,3,0,0,0,0,0,0,0,447,378,170,178,183,116,109,69,
2020,Lebanon,483,441,5,13,15,4,2,3,0,0,0,289,194,30,158,194,61,22,18,
2020,Oman,1045,983,54,8,0,0,0,0,0,0,0,589,456,327,271,248,123,53,23,
2020,Qatar,129,115,7,1,5,0,1,0,0,0,0,94,35,21,17,37,26,16,12,
2020,Saudi Arabia,4755,4432,286,1,0,3,33,0,0,0,0,2547,2208,1876,979,951,500,310,139,
2020,Emirates,352,333,14,1,2,1,1,0,0,0,0,212,140,46,68,108,61,50,19,
2020,Others,372,348,11,6,3,0,4,0,0,0,0,261,111,46,110,126,53,26,11,
